ID,Label
001,Afghanistan
002,Armenia
003,Azerbaijan
060,Bahrain
005,Bangladesh
006,Bhutan
007,Brunei
008,Burma (Myanmar)
009,Cambodia
010,China
012,East Timor
013,Georgia
050,Hong Kong
014,India
015,Indonesia
016,Iran
054,Iraq
063,Israel
019,Japan
062,Jordan
021,Kazakhstan
022,Korea (north)
023,Korea (south)
061,Kuwait
025,Kyrgyzstan
026,Laos
064,Lebanon
051,Macau
028,Malaysia
030,Mongolia
031,Nepal
057,Oman
033,Pakistan
034,Philippines
059,Qatar
036,Russian Federation
055,Saudi Arabia
038,Singapore
039,Sri Lanka
053,Syria
049,Taiwan
041,Tajikistan
042,Thailand
052,Turkey
044,Turkmenistan
058,U.A.E.
046,Uzbekistan
047,Vietnam
056,Yemen
